Title,Abstract
Clean Air Act 1956,"The Clean Air Act 1956 was an Act of the Parliament of the United Kingdom enacted principally in response to London's Great Smog of 1952. It was sponsored by the Ministry of Housing and Local Government in England and the Department of Health for Scotland, and was in effect until 1993.
The Act introduced a number of measures to reduce air pollution. Primary among them was mandated movement toward smokeless fuels, especially in high-population ‘smoke control areas’ to reduce smoke pollution and sulphur dioxide from household fires. The Act also included measures that reduced the emission of gasses, grit, and dust from chimneys and smoke-stacks.
The Act was a significant milestone in the development of a legal framework to protect the environment. It was modified by later enactments, including the Clean Air Act 1968.[1]
The Act was repealed by the Clean Air Act 1993.[1]
"
Twickenham Studios,"Twickenham Studios (formerly known as Twickenham Film Studios) is a film studio in St Margarets, in the London Borough of Richmond upon Thames, that is used by various motion picture and television companies. It was established in 1913 by Dr Ralph Jupp on the site of a former ice-rink. At the time of its original construction, it was the largest film studio in the United Kingdom.[1]
In February 2012, it was announced that due to the studio going into administration, it would close before June, just a year before its centenary.[2][3]  The studio was subsequently saved from closure, with a new owner acquiring the studio in August 2012.[4]
"
NUTS statistical regions of the United Kingdom,"In the Nomenclature of Territorial Units for Statistics (NUTS) codes of the United Kingdom (UK), the three levels are:
"
Regent Street,"Regent Street is a major shopping street in the West End of London. It is named after George, the Prince Regent (later George IV) and was laid out  under the direction of the architect John Nash and James Burton. It runs from Waterloo Place in St James's at the southern end, through Piccadilly Circus and Oxford Circus, to All Souls Church. From there Langham Place and Portland Place continue the route to Regent's Park.
The street's layout was completed in 1825 and was an early example of town planning in England, replacing earlier roads including Swallow Street. Nash and Burton's street layout has survived, although all the original buildings except All Souls Church have been replaced following reconstruction in the late 19th century.[1] The street is known for its flagship retail stores, including Liberty, Hamleys, Jaeger and the Apple Store. The Royal Polytechnic Institution, now the University of Westminster, has been based on Regent Street since 1838.
"
"Smithfield, London","Smithfield is a district in located in Central London, part of Farringdon Without, the most westerly ward of the City of London, England. The principal street of the area is West Smithfield.[1][2]
A number of City institutions are located in the area, such as St Bartholomew's Hospital, the Charterhouse, and Livery Halls, including those of the Butchers' and Haberdashers' Companies.  Smithfield's meat market dates from the 10th century, and is now London's only remaining wholesale market in continuous operation since medieval times.[3] The area also contains London's oldest surviving church, St Bartholomew-the-Great, founded in 1123 AD.
Smithfield has borne witness to many executions of heretics and political rebels over the centuries,[4] including Scottish patriot Sir William Wallace, and Wat Tyler, leader of the Peasants' Revolt, among many other religious reformers and dissenters.
Smithfield Market, a Grade II listed-covered market building, was designed by Victorian architect Sir Horace Jones in the second half of the 19th century, and is the dominant architectural feature of the area.[5] Some of its original market premises fell into disuse in the late 20th century and faced the prospect of demolition. The Corporation of London's public enquiry in 2012[6] drew widespread support for an urban regeneration plan intent upon preserving Smithfield's historical identity.[7]
"
London Metropolitan Archives,"The London Metropolitan Archives (LMA) is the principal local government archive repository for the Greater London area, including the City of London: it is the largest county record office in the United Kingdom. It was established under its present name in 1997, having previously been known as the Greater London Record Office. It is administered and financed by the City of London Corporation.
The archive is based at 40 Northampton Road, Clerkenwell, London. It attracts over 30,000 visitors a year and deals with a similar number of written enquiries. LMA's extensive holdings amount to over 72 miles of records of local, regional and national importance. With the earliest record dating from 1067, the archive charts the development of the capital into a modern-day major world city.
"
St Pancras railway station,"St Pancras railway station (/ˈpæŋkrəs/), also known as London St Pancras and officially since 2007 as St Pancras International, is a central London railway terminus on Euston Road in the London Borough of Camden. It is the terminus for Eurostar services from London to Belgium, France and the Netherlands. It provides East Midlands Railway services to Leicester, Corby, Sheffield and Nottingham on the Midland Main Line, Southeastern high-speed trains to Kent via Ebbsfleet International and Ashford International, and Thameslink cross-London services to Bedford, Peterborough, Brighton and Gatwick Airport. It stands between the British Library, the Regent's Canal and King's Cross railway station, with which it shares a London Underground station, King's Cross St. Pancras.
The station was constructed by the Midland Railway (MR), which had an extensive network across the Midlands and the North of England, but no dedicated line into London. After rail traffic problems following the 1862 International Exhibition, the MR decided to build a connection from Bedford to London with their own terminus. The station was designed by William Henry Barlow and constructed with a single-span iron roof. Following the station's opening on 1 October 1868, the MR constructed the Midland Grand Hotel on the station's façade, which has been widely praised for its architecture and is now a Grade I listed building along with the rest of the station.
By the 1960s, St Pancras was surplus to requirements and services were diverted to King's Cross and Euston but there was fierce opposition to its proposed closure and demolition of the station and hotel. In the late 20th century, it became the terminal for the Channel Tunnel Rail Link as part of an urban regeneration plan across East London. The complex underwent an £800 million refurbishment which was opened by Queen Elizabeth II in November 2007. A security-sealed terminal area was constructed for Eurostar services to mainland Europe via High Speed 1 and the Channel Tunnel, with platforms for domestic trains to the north and south-east of England. The restored station has 15 platforms, a shopping centre, and a coach facility. St Pancras is owned by HS1 Ltd and managed by Network Rail (High Speed), a subsidiary of Network Rail.
"
Putney,"Putney (/ˈpʌtni/) is a district in southwest London, England, in the London Borough of Wandsworth.  It is centred 6.1 miles (9.8 km) southwest of Charing Cross.  The area is identified in the London Plan as one of 35 major centres in Greater London.[2]
"
Wood mouse,"Mus sylvaticus Linnaeus, 1758
The wood mouse (Apodemus sylvaticus) is a murid rodent native to Europe and northwestern Africa. It is closely related to the yellow-necked mouse (Apodemus flavicollis) but differs in that it has no band of yellow fur around the neck, has slightly smaller ears, and is usually slightly smaller overall: around 90 mm (3.54 in) in length and 23 g in weight.[2] It is found across most of Europe and is a very common and widespread species, is commensal with people and is sometimes considered a pest.[1] Other common names are long-tailed field mouse, field mouse, common field mouse, and European wood mouse.[3]
Wood mice inhabit forests, grasslands, and cultivated fields, tending to seek out more wooded areas in winter.[4] Almost entirely nocturnal and terrestrial, wood mice burrow extensively, build nests of plants and live in buildings during harsh seasons. It is one of the most intensively studied species in the genus. In Europe it ranges north to Scandinavia and east to Ukraine. The wood mouse is also found in northwestern Africa and on many Mediterranean islands.[5]
Wood mice are primarily seed eaters,[6] particularly seeds of trees such as oak, beech, ash, lime, hawthorn, and sycamore. If seeds are plentiful on the ground, they carry them back to their nests/burrows for storage.[7] They may eat small invertebrates such as snails and insects, particularly in late spring and early summer when seeds are least available. Later in the season they will eat berries, fruits, fungi and roots. In winter, they may prey on hibernating bats.[8]
Wood mice are mainly active during the dark, probably having evolved so to avoid predation, employing several anti-predatory strategies, though breeding females may be more active in daylight in order to collect sufficient food.[9] While foraging, wood mice pick up and distribute visually conspicuous objects, such as leaves and twigs, which they then use as landmarks during exploration.[10][11] If a wood mouse is caught by its tail, it can quickly shed the end of it, which may never regrow.[12] Despite its name, it prefers hedgerows to woodland. During the colder months, wood mice do not hibernate; however, during severe winter seasons they can fall into a torpid state, a decrease in physiological activity.
Predators of wood mice include foxes, snakes, weasels, hawks, owls, domestic dogs and domestic cats.[13] To avoid predation, wood mice tend to forage in covered microsites.[14]
"
Imperial College London,"Imperial College London (legally Imperial College of Science, Technology and Medicine)[7] is a public research university in London. Dating back to the Royal College of Chemistry's foundation in 1845, Imperial grew out of Prince Albert's vision of an area for culture, including the Royal Albert Hall, Imperial Institute, numerous museums, and the Royal Colleges that would go on to form the college.[8][9] In 1907, Imperial College was established by Royal Charter, merging the Royal College of Science, Royal School of Mines, and City and Guilds College.[10]  In 1988, the Imperial College School of Medicine was formed by combining with St Mary's Hospital Medical School. In 2004, Queen Elizabeth II opened the Imperial College Business School.
The college focuses exclusively on science, technology, medicine and business. The college's main campus is located in South Kensington, and it has an innovation campus in White City, a research field station at Silwood Park, and teaching hospitals throughout London. The college was a member of the University of London from 1908, becoming independent on its centenary in 2007.[11][12]  Imperial has an international community, with more than 59% of students from outside the UK and 140 countries represented on campus.[13][14] Student, staff, and researcher affiliations include 14 Nobel laureates, 3 Fields Medalists, 1 Turing Award winner, 74 Fellows of the Royal Society, 87 Fellows of the Royal Academy of Engineering, and 85 Fellows of the Academy of Medical Sciences.[15]
"
